key,district_lbl,priority,gi_z,gi_p,hotspot,lisa_quadrant,lisa_p
08064,Nou Barris,0.000899802623940555,-0.44646850812141103,0.6552588557586341,ns,ns,0.523
08078,Nou Barris,0.0008221156801278505,-0.4476344052974702,0.6544170685361763,ns,ns,0.478
02049,Eixample,0.002325486098305571,-0.4479942054062507,0.6541573785806101,ns,ns,0.432
08033,Nou Barris,0.001082779564862053,-0.4522834233504861,0.6510648162547499,ns,ns,0.503
09006,Sant Andreu,0.0,-0.45430412209596227,0.6496099495927523,ns,ns,0.55
10009,Sant Marti,0.000791382383674473,-0.4554953115558955,0.6487529397896961,ns,ns,0.467
10015,Sant Marti,0.0012808385864504863,-0.4555070870648539,0.6487444701341638,ns,ns,0.45
01014,Ciutat Vella,0.0,-0.456440399295593,0.6480733203155384,ns,ns,0.561
05064,Sarria-Sant Gervasi,0.0011359936985359568,-0.4582836241965917,0.6467486875915176,ns,ns,0.466
08092,Nou Barris,6.516597118355063e-05,-0.45962003256686085,0.6457889775756886,ns,ns,0.534
09039,Sant Andreu,0.0,-0.45981924929303747,0.645645965241401,ns,ns,0.582
09075,Sant Andreu,0.00047978090574439454,-0.4605109714803735,0.645149498210206,ns,ns,0.513
09083,Sant Andreu,0.00014185692853711785,-0.46145381849402123,0.6444730470367714,ns,ns,0.516
07004,Horta-Guinardo,0.0005904776864885047,-0.462020112905303,0.6440668971672106,ns,ns,0.508
02027,Eixample,0.0009362272715890026,-0.46293832545902525,0.6434085752750804,ns,ns,0.467
09064,Sant Andreu,0.0003636773413649682,-0.46318908192683733,0.6432288414748164,ns,ns,0.514
02127,Eixample,0.00039782544853538774,-0.4637917667140505,0.6427969426893618,ns,ns,0.537
07100,Horta-Guinardo,0.00027261572224384934,-0.4652416069083854,0.6417584461395363,ns,ns,0.491
08038,Nou Barris,0.0032918775312284444,-0.46536720457373554,0.6416685155434965,ns,ns,0.287
09076,Sant Andreu,0.0011496529414041245,-0.4669069294721316,0.6405664673412452,ns,ns,0.408
07041,Horta-Guinardo,0.0014242606365662486,-0.46844857292939696,0.6394638394111891,ns,ns,0.342
09031,Sant Andreu,0.0025158617957806596,-0.46852942170198736,0.6394060359832152,ns,ns,0.319
02125,Eixample,0.000530433931380517,-0.4687567020370671,0.6392435519568243,ns,ns,0.492
06066,Gracia,0.0001771433059465514,-0.46941589802767564,0.6387723868625805,ns,ns,0.528
10027,Sant Marti,0.00033806626098715353,-0.4702630770454944,0.6381670736205249,ns,ns,0.504
09077,Sant Andreu,0.00039227638112019454,-0.4705114908041341,0.6379896265652132,ns,ns,0.485
07122,Horta-Guinardo,9.589926763692822e-05,-0.47121712407274624,0.6374856913663236,ns,ns,0.527
03014,Sants-Montjuic,0.0,-0.47475286408714407,0.6349631333880954,ns,ns,0.516
